edge_id,kind,from_node,to_node,area_m2,resistance_Pa_s2_m6,target_m3_s,flow_m3_s,velocity_m_s,shortfall_m3_s,closed,flow_p05_m3_s,flow_p50_m3_s,flow_p95_m3_s,target_probability
l3-supply-2,intake,l3-in-1,l3-in-2,22,0.041,0,-19.757070165360773,-0.8980486438800351,19.757070165360773,False,-22.12232367136595,-19.74993778164898,-17.709955378832046,1.0
l3-extract-2,return,l3-out-2,l3-out-1,22,0.044,0,6.769304208958342,0.3076956458617428,0.0,False,5.876181701411275,6.759695463884418,7.654423852018098,1.0
l3-working-2,working,l3-in-2,l3-stope-2,15,1.79,15,6.769304208958342,0.45128694726388946,8.230695791041658,False,5.876181701411275,6.759695463884418,7.654423852018098,0.0
l3-stope-return-2,return,l3-stope-2,l3-out-2,15,0.29000000000000004,0,6.769304208958342,0.45128694726388946,0.0,False,5.876181701411275,6.759695463884418,7.654423852018098,1.0
ramp-link-3,crosscut,l2-in-2,l3-in-2,16,0.85,0,5.493870146781287,0.34336688417383043,0.0,False,4.046946686191135,5.439049108233897,6.599840684897809,1.0
intake-shaft-4,fan,intake-3,intake-4,30,0.028,0,64.02107014898827,2.1340356716329425,0.0,False,62.083395816360905,64.22446662865224,66.44069203919159,1.0
return-shaft-4,return,return-4,return-3,28,0.027,0,42.98856592145045,1.5353059257660875,0.0,False,41.27722787359522,42.953459049629,44.918986266778155,1.0
l4-supply-0,intake,intake-4,l4-in-0,22,0.025,0,64.02107014898829,2.910048643135831,0.0,False,62.083395816360905,64.22446662865224,66.44069203919159,1.0
l4-extract-0,return,l4-out-0,return-4,22,0.03,0,42.98856592145045,1.9540257237022933,0.0,False,41.27722787359522,42.953459049629,44.918986266778155,1.0
l4-working-0,working,l4-in-0,l4-stope-0,13,1.63,15,16.561775995148004,1.2739827688575387,0.0,False,15.224809670954375,16.48401706401777,18.348794059053457,0.96875
l4-stope-return-0,return,l4-stope-0,l4-out-0,15,0.22,0,16.561775995148007,1.1041183996765338,0.0,False,15.224809670954375,16.48401706401777,18.348794059053457,1.0
l4-supply-1,intake,l4-in-0,l4-in-1,22,0.033,0,47.459294153840275,2.157240643356376,0.0,False,45.65128131576647,47.59256320640969,49.659606325854035,1.0
l4-extract-1,return,l4-out-1,l4-out-0,22,0.037,0,26.426789926302444,1.2012177239228383,0.0,False,25.077688985411903,26.463525750749,28.04762322854912,1.0
l4-working-1,working,l4-in-1,l4-stope-1,14,1.8199999999999998,18,14.00984867702576,1.0007034769304115,3.9901513229742402,False,12.629606110186192,13.892152037652773,15.471736606391513,0.0
l4-stope-return-1,return,l4-stope-1,l4-out-1,15,0.255,0,14.00984867702576,0.9339899118017173,0.0,False,12.629606110186192,13.892152037652773,15.471736606391513,1.0
l4-supply-2,intake,l4-in-1,l4-in-2,22,0.041,0,33.44944547681452,1.5204293398552053,0.0,False,31.689276756075095,33.461574864814345,35.74322938040641,1.0
l4-extract-2,return,l4-out-2,l4-out-1,22,0.044,0,12.416941249276688,0.5644064204216677,0.0,False,11.376352792331758,12.457179251479342,13.800311924181733,1.0
l4-working-2,working,l4-in-2,l4-stope-2,15,2.01,15,12.416941249276688,0.8277960832851126,2.5830587507233123,False,11.376352792331758,12.457179251479342,13.800311924181733,0.0
l4-stope-return-2,return,l4-stope-2,l4-out-2,15,0.29000000000000004,0,12.416941249276688,0.8277960832851126,0.0,False,11.376352792331758,12.457179251479342,13.800311924181733,1.0
ramp-link-4,crosscut,l3-in-2,l4-in-2,16,0.85,0,-21.032504227537828,-1.3145315142211143,21.032504227537828,False,-23.422174563471035,-20.95854795500469,-19.43543106994883,1.0
